feature,# inclusions,from prod,from prod non-factory
total,423,229,174
signin,83,39,26
profiles,43,30,29
dice,22,10,10
account_reconcilor,21,11,7
sync,21,5,3
chrome/browser/ui/webui/signin,20,9,9
safe_browsing,18,3,2
supervised_user,15,10,5
about_signin,14,14,6
account_consistency,13,6,5
chrome/browser/ui,12,3,3
chrome/browser/chromeos/login,11,9,6
chrome/browser/chromeos,10,5,5
authentication_service,10,4,2
webui,9,6,5
policy,9,0,0
browser_state,9,9,9
chrome/browser/extensions/api/identity,8,5,5
signin_ui_util,8,0,0
autofill,7,4,1
ios/web_view/internal/signin,7,7,2
settings,5,5,5
signin_status_metrics_provider,5,5,5
arc/auth,4,3,3
bookmarks,4,1,1
ios/chrome/browser/ui/authentication,4,3,3
chrome/browser,4,4,4
chrome/browser/android/signin,4,4,4
signin_promo,3,3,3
password_manager,3,0,0
search,3,1,1
signin_global_error,2,1,1
account_fetcher,2,2,0
gaia_cookie_manager,2,2,0
ios/chrome/browser/ui/signin_interaction,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
metrics,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
