feature,# inclusions,from prod,from prod non-factory
total,129,86,78
profiles,16,13,13
signin,16,9,7
safe_browsing,11,5,4
dice,9,6,6
chrome/browser/ui/webui/signin,8,7,7
chrome/browser/chromeos,6,3,3
chrome/browser/extensions/api/identity,6,4,4
ios/chrome/browser/ui/authentication,6,4,4
settings,6,6,6
arc/auth,5,3,3
chrome/browser/chromeos/login,5,2,2
chrome/browser/android/signin,4,4,4
authentication_service,4,2,1
supervised_user,3,3,2
password_manager,3,2,2
about_signin,3,3,1
signin_ui_util,3,2,2
signin_promo,2,2,2
sync,2,1,1
policy,2,0,0
account_reconcilor,1,0,0
autofill,1,0,0
webui,1,1,1
account_consistency,1,0,0
ios/web_view/internal/signin,1,1,0
browser_state,1,1,1
search,1,0,0
first_run,1,1,1
chrome/browser/ui,1,1,1
