feature,# inclusions,from prod,from prod non-factory,Dependency status
chrome/browser/app_controller_mac_unittest.mm,-2,0,0,Completed
chrome/browser/chrome_content_browser_client.cc,-1,-1,-1,Completed
chrome/browser/chromeos/account_manager/account_manager_migrator.cc,2,2,2,Completed
chrome/browser/chromeos/arc/auth/arc_auth_context.cc,-2,-2,-2,Completed
chrome/browser/chromeos/login/kiosk_browsertest.cc,-2,0,0,Completed
chrome/browser/chromeos/login/lock/screen_locker.cc,-2,-2,-2,Completed
chrome/browser/chromeos/login/session/user_session_manager.cc,-3,-3,-3,Completed
chrome/browser/chromeos/login/signin/auth_sync_observer.cc,-1,-1,-1,Completed
chrome/browser/chromeos/login/signin/auth_sync_observer.h,-1,-1,-1,Completed
chrome/browser/chromeos/login/signin/auth_sync_observer_factory.cc,-1,-1,0,Completed
chrome/browser/extensions/api/enterprise_platform_keys_private/enterprise_platform_keys_private_api_unittest.cc,-2,0,0,Completed
chrome/browser/extensions/api/identity/gaia_web_auth_flow.cc,-4,-4,-4,Completed
chrome/browser/extensions/api/identity/identity_apitest.cc,1,0,0,Completed
chrome/browser/extensions/external_component_loader.cc,-2,-2,-2,Completed
chrome/browser/extensions/updater/chrome_extension_downloader_factory.cc,-1,-1,0,Completed
chrome/browser/policy/cloud/cloud_policy_manager_browsertest.cc,-2,0,0,Completed
chrome/browser/policy/cloud/user_policy_signin_service_unittest.cc,3,0,0,Ongoing
chrome/browser/profiles/chrome_browser_main_extra_parts_profiles.cc,1,1,1,Completed
chrome/browser/profiles/profile_downloader.cc,2,2,2,Completed
chrome/browser/profiles/profile_downloader_unittest.cc,3,0,0,Completed
chrome/browser/profiles/profile_manager.cc,2,2,2,Completed
chrome/browser/profiles/profile_window.cc,-2,-2,-2,Completed
chrome/browser/profiles/profiles_state.cc,-1,-1,-1,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_browsertest.cc,3,0,0,Completed
chrome/browser/safe_browsing/chrome_password_protection_service_unittest.cc,3,0,0,Completed
chrome/browser/signin/about_signin_internals_factory.cc,-1,-1,0,Ongoing
chrome/browser/signin/account_fetcher_service_factory.cc,-4,-4,0,Completed
chrome/browser/signin/account_investigator_factory.cc,-1,-1,0,Completed
chrome/browser/signin/dice_response_handler_unittest.cc,-1,0,0,Ongoing
chrome/browser/signin/fake_account_fetcher_service_builder.cc,-4,0,0,Completed
chrome/browser/signin/force_signin_verifier.cc,-3,-3,-3,Completed
chrome/browser/signin/force_signin_verifier_unittest.cc,-5,0,0,Completed
chrome/browser/signin/signin_error_controller_factory.cc,1,1,0,Completed
chrome/browser/signin/signin_error_notifier_ash.h,-1,-1,-1,Completed
chrome/browser/signin/signin_error_notifier_factory_ash.cc,-2,-2,0,Completed
chrome/browser/signin/signin_global_error.h,-1,-1,-1,Completed
chrome/browser/signin/signin_global_error_factory.cc,-1,-1,0,Completed
chrome/browser/signin/signin_global_error_unittest.cc,-2,0,0,Completed
chrome/browser/signin/signin_profile_attributes_updater.h,-2,-2,-2,Completed
chrome/browser/signin/signin_profile_attributes_updater_factory.cc,-2,-2,0,Completed
chrome/browser/signin/signin_promo.cc,-3,-3,-3,Completed
chrome/browser/signin/signin_promo_util.cc,-2,-2,-2,Completed
chrome/browser/signin/signin_tracker_factory.cc,-4,-4,0,Completed
chrome/browser/signin/signin_ui_util.cc,-5,-5,-5,Completed
chrome/browser/signin/signin_util.cc,-2,-2,-2,Completed
chrome/browser/signin/signin_util_win.cc,-1,-1,-1,Ongoing
chrome/browser/supervised_user/child_accounts/child_account_service.cc,-4,-4,-4,Completed
chrome/browser/supervised_user/child_accounts/family_info_fetcher_unittest.cc,-1,0,0,Completed
chrome/browser/sync/sync_ui_util.cc,-2,-2,-2,Completed
chrome/browser/sync/sync_ui_util_unittest.cc,-1,0,0,Completed
chrome/browser/sync/test/integration/sync_auth_test.cc,-2,0,0,Completed
chrome/browser/ui/avatar_button_error_controller.h,-1,-1,-1,Completed
chrome/browser/ui/chrome_pages.cc,-2,-2,-2,Completed
chrome/browser/ui/passwords/google_password_manager_navigation_throttle_browsertest.cc,-2,0,0,Completed
chrome/browser/ui/sync/one_click_signin_sync_starter.cc,-3,-3,-3,Completed
chrome/browser/ui/sync/one_click_signin_sync_starter_unittest.cc,-7,0,0,Completed
chrome/browser/ui/views/autofill/save_card_bubble_views_browsertest_base.cc,1,0,0,Completed
chrome/browser/ui/views/bookmarks/bookmark_bubble_view_unittest.cc,-3,0,0,Completed
chrome/browser/ui/views/profiles/avatar_toolbar_button.cc,-2,-2,-2,Completed
chrome/browser/ui/views/profiles/avatar_toolbar_button.h,-1,-1,-1,Completed
chrome/browser/ui/views/profiles/profile_chooser_view.cc,-7,-7,-7,Completed
chrome/browser/ui/views/sync/inline_login_ui_browsertest.cc,1,0,0,New
chrome/browser/ui/webui/browsing_history_handler_unittest.cc,-6,0,0,Completed
chrome/browser/ui/webui/chromeos/assistant_optin/assistant_optin_utils.cc,-1,-1,-1,Completed
chrome/browser/ui/webui/print_preview/print_preview_handler.cc,-6,-6,-6,Completed
chrome/browser/ui/webui/print_preview/print_preview_handler.h,-1,-1,-1,Completed
chrome/browser/ui/webui/settings/people_handler.cc,-7,-7,-7,Completed
chrome/browser/ui/webui/settings/people_handler_unittest.cc,-4,0,0,Completed
chrome/browser/ui/webui/signin/dice_turn_sync_on_helper_unittest.cc,-7,0,0,Completed
chrome/browser/ui/webui/signin/inline_login_ui_browsertest.cc,-7,0,0,Completed
chrome/browser/ui/webui/signin/signin_create_profile_handler.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/signin/signin_create_profile_handler_unittest.cc,-1,0,0,Completed
chrome/browser/ui/webui/signin/sync_confirmation_handler.cc,-2,-2,-2,Completed
chrome/browser/ui/webui/signin/sync_confirmation_handler_unittest.cc,4,0,0,Completed
chrome/browser/ui/webui/supervised_user_internals_message_handler.cc,-2,-2,-2,Completed
chrome/test/base/chrome_render_view_host_test_harness.cc,-8,0,0,Completed
chrome/test/data/webui/ntp4_browsertest.cc,-2,0,0,Completed
components/signin/core/browser/about_signin_internals.h,-1,-1,-1,Completed
components/signin/core/browser/account_fetcher_service.cc,-2,-2,-2,Completed
components/signin/core/browser/account_investigator.h,-1,-1,-1,Completed
components/signin/core/browser/account_investigator_unittest.cc,-5,0,0,Completed
components/signin/core/browser/child_account_info_fetcher_android.cc,-1,-1,-1,Completed
components/signin/core/browser/child_account_info_fetcher_impl.cc,-2,-2,-2,Completed
components/signin/core/browser/fake_account_fetcher_service.cc,-2,0,0,Completed
components/signin/core/browser/signin_investigator_unittest.cc,-1,0,0,Completed
components/signin/core/browser/signin_tracker.cc,-2,-2,-2,Completed
components/signin/core/browser/signin_tracker.h,-2,-2,-2,Completed
components/signin/core/browser/signin_tracker_unittest.cc,-6,0,0,Completed
components/signin/ios/browser/account_consistency_service.h,-1,-1,-1,Completed
components/signin/ios/browser/account_consistency_service_unittest.mm,1,0,0,Ongoing
ios/chrome/browser/browser_state/chrome_browser_state_manager_impl.cc,2,2,2,Completed
ios/chrome/browser/signin/about_signin_internals_factory.cc,-1,-1,0,Ongoing
ios/chrome/browser/signin/account_consistency_service_factory.mm,-1,-1,0,Completed
ios/chrome/browser/signin/account_fetcher_service_factory.cc,-3,-3,0,Completed
ios/chrome/browser/signin/signin_browser_state_info_updater.h,-1,-1,-1,Completed
ios/chrome/browser/signin/signin_browser_state_info_updater_factory.mm,-1,-1,0,Completed
ios/chrome/browser/ui/settings/accounts_collection_view_controller.mm,-4,-4,-4,Completed
ios/chrome/browser/ui/settings/sync_encryption_passphrase_table_view_controller.mm,-2,-2,-2,Completed
ios/chrome/browser/ui/settings/sync_settings_collection_view_controller.mm,-4,-4,-4,Completed
ios/chrome/test/app/signin_test_util.mm,-2,0,0,Completed
ios/web_view/internal/app/application_context.cc,-1,-1,-1,Completed
ios/web_view/internal/app/application_context.mm,1,1,1,New
ios/web_view/internal/passwords/web_view_password_manager_client.mm,-1,-1,-1,Completed
ios/web_view/internal/signin/web_view_account_fetcher_service_factory.mm,1,1,0,Ongoing
ios/web_view/internal/signin/web_view_signin_error_controller_factory.mm,-2,-2,0,Completed
ios/web_view/internal/sync/cwv_sync_controller.mm,-2,-2,-2,Ongoing
ios/web_view/internal/sync/cwv_sync_controller_unittest.mm,-1,0,0,Ongoing
ios/web_view/internal/sync/web_view_profile_sync_service_factory.mm,-1,-1,0,Completed
services/identity/public/cpp/accounts_mutator_impl.cc,2,2,2,New
services/identity/public/cpp/accounts_mutator_unittest.cc,-1,0,0,Completed
total,-190,-121,-97,New
