feature,# including files,prod,prod non-factory
total,56,33,21
signin,12,7,3
chrome/browser/ui/webui/signin,5,3,2
chrome/browser,4,3,3
sync,3,0,0
signin_status_metrics_provider,4,4,4
profiles,4,3,2
safe_browsing,2,1,0
chrome/browser/chromeos/login,2,2,1
account_reconcilor,1,0,0
supervised_user,2,2,0
bookmarks,1,0,0
password_manager,1,0,0
signin_ui_util,1,0,0
extensions,1,1,1
autofill,1,0,0
webui,1,0,0
dice,1,0,0
ios/web_view/internal/app,1,1,1
account_consistency,1,0,0
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/signin,1,1,0
signin_global_error,1,0,0
chrome/browser/chromeos,1,0,0
chrome/browser/android/signin,1,1,1
browser_state,1,1,1
chrome/browser/prefs,1,1,1
chrome/browser/unified_consent,1,1,0
