feature,# including files,prod,prod non-factory
total,224,158,124
signin,28,19,13
profiles,25,18,17
dice,11,7,7
chrome/browser/ui/webui/signin,13,10,9
sync,14,7,4
account_reconcilor,9,7,5
safe_browsing,7,4,3
supervised_user,7,6,3
chrome/browser/chromeos/login,7,5,4
about_signin,4,4,2
account_consistency,7,5,4
chrome/browser/ui,7,2,2
policy,3,1,1
chrome/browser/extensions/api/identity,4,3,3
signin_ui_util,2,1,1
chrome/browser/chromeos,5,2,2
webui,6,5,4
chrome/browser,6,5,5
authentication_service,4,2,1
browser_state,2,2,2
ios/chrome/browser/ui/authentication,3,2,2
chrome/browser/android/signin,2,2,2
settings,6,6,6
autofill,5,4,1
ios/web_view/internal/signin,6,6,2
arc/auth,3,2,2
password_manager,3,2,2
signin_status_metrics_provider,4,4,4
bookmarks,3,1,1
signin_promo,1,1,1
search,2,1,1
signin_global_error,2,1,1
account_fetcher,1,1,0
gaia_cookie_manager,1,1,0
extensions,1,1,1
ios/chrome/browser/ui/signin_interaction,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/app,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
metrics,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
first_run,1,1,1
