feature,# inclusions,from prod,from prod non-factory
total,497,291,227
signin,82,41,26
profiles,47,33,32
dice,32,18,18
chrome/browser/ui/webui/signin,29,18,15
sync,26,8,5
account_reconcilor,24,14,8
safe_browsing,21,6,4
supervised_user,17,12,7
chrome/browser/chromeos/login,16,11,8
about_signin,14,14,6
account_consistency,13,6,5
chrome/browser/ui,12,3,3
policy,12,2,2
chrome/browser/extensions/api/identity,11,7,7
signin_ui_util,11,3,3
chrome/browser/chromeos,10,5,5
webui,10,7,6
chrome/browser,10,8,8
authentication_service,10,4,2
browser_state,9,9,9
ios/chrome/browser/ui/authentication,8,5,5
chrome/browser/android/signin,8,8,8
settings,8,8,8
autofill,7,4,1
ios/web_view/internal/signin,7,7,2
arc/auth,5,3,3
password_manager,5,2,2
signin_status_metrics_provider,5,5,5
bookmarks,4,1,1
signin_promo,3,3,3
search,3,1,1
signin_global_error,2,1,1
account_fetcher,2,2,0
gaia_cookie_manager,2,2,0
extensions,2,2,2
ios/chrome/browser/ui/signin_interaction,1,1,1
chrome/browser/unified_consent,1,1,0
ios/web_view/internal/app,1,1,1
ios/chrome/browser/prefs,1,1,1
chrome/browser/printing,1,1,1
metrics,1,1,0
toolbar,1,0,0
chrome/test/base,1,0,0
chrome/browser/prefs,1,1,1
first_run,1,1,1
