feature,# including files,prod,prod non-factory
total,93,51,41
profiles,10,7,7
autofill,7,3,1
sync,6,0,0
signin,6,4,3
dice,4,2,2
chrome/browser/ui/webui/signin,4,3,3
chrome/browser/extensions/api/identity,3,2,2
chrome/browser/android/signin,3,3,3
account_fetcher,5,3,1
ios/chrome/browser/ui/authentication,2,2,2
safe_browsing,2,1,1
authentication_service,3,2,1
settings,2,2,2
chrome/browser/chromeos/login,3,1,1
supervised_user,3,3,2
about_signin,3,3,1
browser_state,2,2,2
account_reconcilor,1,0,0
signin_tracker,1,0,0
signin_promo,1,1,1
webui,1,1,1
ntp_snippets,2,0,0
signin_ui_util,1,1,1
ios/web_view/internal/signin,2,2,1
child_account_info,2,2,2
autocomplete,1,0,0
ios/chrome/test/app,1,0,0
chrome/browser/ui,1,0,0
suggestions,1,0,0
account_investigator,1,0,0
account_consistency,1,0,0
desktop_ios_promotion,1,0,0
access_token_fetcher,1,0,0
policy,1,0,0
search,1,0,0
chrome/test/base,1,0,0
first_run,1,1,1
browsing_data,1,0,0
history,1,0,0
