file,# inclusions
chrome/browser/supervised_user/child_accounts/child_account_service.cc,2
chrome/browser/supervised_user/child_accounts/child_account_service_factory.cc,1
chrome/browser/supervised_user/child_accounts/permission_request_creator_apiary.cc,3
chrome/browser/supervised_user/experimental/safe_search_url_reporter.cc,3
chrome/browser/supervised_user/legacy/custodian_profile_downloader_service.cc,2
chrome/browser/supervised_user/legacy/custodian_profile_downloader_service_factory.cc,1
chrome/browser/supervised_user/legacy/supervised_user_registration_utility.cc,2
chrome/browser/supervised_user/legacy/supervised_user_sync_service.cc,2
chrome/browser/supervised_user/legacy/supervised_user_sync_service.h,1
chrome/browser/supervised_user/legacy/supervised_user_sync_service_factory.cc,1
chrome/browser/supervised_user/supervised_user_google_auth_navigation_throttle.cc,2
chrome/browser/supervised_user/supervised_user_service.cc,3
chrome/browser/supervised_user/supervised_user_service_unittest.cc,2
total,25
