feature,# inclusions,from prod,from prod non-factory
total,519,330,266
sync,42,20,16
extensions,30,15,12
webui,27,19,18
settings,27,17,17
supervised_user,25,23,20
profiles,25,19,18
policy,22,9,6
ntp_snippets,20,14,7
chrome/browser/ui/webui/signin,17,7,6
chrome/browser/chromeos/login,15,13,12
autofill,12,9,4
bookmarks,11,4,4
payments,10,6,6
safe_browsing,8,2,2
dice,8,5,5
password_manager,8,6,5
first_run,8,6,6
account_reconcilor,7,4,2
chrome/browser/extensions/api/identity,7,4,4
chrome/browser/ui,7,3,3
gcm,6,4,0
easy_unlock,6,4,4
desktop_ios_promotion,6,3,1
suggestions,6,5,1
toolbar,6,4,4
authentication_service,6,3,2
signin_status_metrics_provider,6,6,6
chrome/browser,6,4,4
history,6,5,1
signin_tracker,5,2,1
about_signin,5,5,2
app_list,5,2,2
invalidation,5,5,1
browsing_data,5,0,0
signin_global_error,5,2,2
signin_promo,4,4,4
drive,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
account_investigator,4,3,1
ios/chrome/browser/ui/authentication,4,4,4
arc/auth,4,2,2
ios/chrome/browser/ui,4,2,2
chrome/browser/chromeos,4,2,2
cryptauth,4,4,3
search,4,2,2
autocomplete,4,2,0
drive_backend,3,3,3
browser_state,3,3,3
signin_error_notifier,3,0,0
account_consistency,3,2,1
chrome/browser/android/signin,3,3,3
feedback,2,2,2
force_signin,2,2,2
startup,2,2,2
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
download,2,0,0
signin,2,0,0
ios/chrome/app,2,2,2
access_token_fetcher,2,1,1
ios/web_view/internal/signin,2,2,1
proximity_auth,2,2,2
metrics,2,0,0
signin_ui_util,2,2,2
chrome/browser/permissions,2,0,0
chrome/test/base,2,0,0
signin_capability,2,2,2
chrome/browser/android,2,2,0
devtools,1,1,1
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
profile_identity_provider,1,1,1
