feature,# inclusions,from prod,from prod non-factory
total,1073,654,514
sync,81,33,24
profiles,66,46,45
supervised_user,52,43,37
webui,45,32,31
chrome/browser/chromeos/login,43,31,27
policy,41,18,12
signin,40,21,16
extensions,40,20,16
settings,38,26,26
chrome/browser/ui/webui/signin,37,21,20
ntp_snippets,35,19,8
chrome/browser/extensions/api/identity,28,17,17
account_reconcilor,26,12,6
autofill,24,14,6
dice,23,13,13
about_signin,21,21,10
signin_tracker,16,7,4
safe_browsing,16,4,4
authentication_service,16,7,5
account_fetcher,15,9,2
desktop_ios_promotion,13,6,2
suggestions,12,8,1
signin_global_error,12,5,3
browsing_data,12,0,0
history,12,8,1
bookmarks,11,4,4
payments,11,7,7
app_list,11,5,5
chrome/browser/ui,11,5,5
chrome/browser/android/signin,11,11,11
easy_unlock,10,8,8
browser_state,10,10,10
arc/auth,10,5,5
search,10,4,3
invalidation,10,8,2
account_investigator,9,5,2
ios/chrome/browser/ui/authentication,9,9,9
chrome/browser/chromeos,9,4,4
account_consistency,9,5,3
first_run,9,7,7
autocomplete,8,4,0
gcm,8,5,0
password_manager,8,6,5
ios/web_view/internal/signin,8,8,3
chrome/browser,8,4,4
signin_error_notifier,8,3,1
drive,8,8,8
signin_promo,7,7,7
toolbar,7,4,4
cryptauth,7,7,5
chrome/test/base,6,0,0
signin_status_metrics_provider,6,6,6
drive_backend,5,5,5
access_token_fetcher,5,1,1
signin_ui_util,5,5,5
feedback,4,4,4
ios/chrome/browser/ui/signin_interaction,4,2,2
ios/chrome/browser/ui,4,2,2
proximity_auth,4,4,4
signin_capability,4,4,4
force_signin,3,3,3
child_account_info,3,3,3
chrome/browser/permissions,2,0,0
cloud_print,2,2,2
ios/chrome/browser/passwords,2,2,2
download,2,0,0
devtools,2,2,2
ios/chrome/app,2,2,2
startup,2,2,2
metrics,2,0,0
profile_identity_provider,2,2,2
gaia_cookie_manager,2,2,0
ios/chrome/test/app,2,0,0
chrome/browser/android,2,2,0
gcm_driver,1,1,1
ios/chrome/browser/prefs,1,1,1
ios/web_view/internal/app,1,1,1
chrome/browser/prefs,1,1,1
refresh_token_annotation_request,1,1,1
